Category|Material|Type|Price
#Iron is currently used as the Base price for this shop.
Weapon|Iron|Shortsword|80.00
Weapon|Iron|Longsword|120.00
Weapon|Iron|Greatsword|230.00
Weapon|Iron|Hatchet|50.00
Weapon|Iron|Broadaxe|90.00
Weapon|Iron|Greataxe|150.00
Weapon|Iron|Axe|50.00
Weapon|Iron|Sword|80.00
Material|Steel|Shortsword|30.00
Material|Steel|Longsword|40.00
Material|Steel|Greatsword|75.00
Material|Steel|Hatchet|20.00
Material|Steel|Broadaxe|35.00
Material|Steel|Greataxe|60.00
Material|Mithral|Shortsword|60.00
Material|Mithral|Longsword|80.00
Material|Mithral|Greatsword|150.00
Material|Mithral|Hatchet|40.00
Material|Mithral|Broadaxe|70.00
Material|Mithral|Greataxe|120.00
Material|Adamantine|Shortsword|120.00
Material|Adamantine|Longsword|160.00
Material|Adamantine|Greatsword|300.00
Material|Adamantine|Hatchet|80.00
Material|Adamantine|Broadaxe|140.00
Material|Adamantine|Greataxe|240.00
Upgrade|Amethyst|Inlay|100.00
Upgrade|Garnet|Inlay|120.00
Upgrade|Emerald|Inlay|130.00
Upgrade|Citrine|Inlay|190.00
Upgrade|Sapphire|Inlay|270.00
Upgrade|Diamond|Inlay|400.00